instance_sn,role,app_name,cpu_request,cpu_limit,gpu_request,gpu_limit,rdma_request,rdma_limit,memory_request,memory_limit,disk_request,disk_limit,max_instance_per_node,creation_time,scheduled_time,deletion_time,estimated_runtime
instance_7460,CN,app_0,48,48,0,0,25,25,240.0,240.0,680.0,800.0,-1,45281.0,45281.0,50049.0,4768.0
instance_7461,CN,app_0,48,48,0,0,25,25,240.0,240.0,680.0,800.0,-1,45281.0,45281.0,50805.0,5524.0
instance_7462,CN,app_2,64,64,0,0,1,1,320.0,320.0,425.0,500.0,-1,45281.0,45324.0,50857.0,5576.0
instance_7463,CN,app_34,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,45281.0,45323.0,137291.0,92010.0
instance_7464,CN,app_13,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,45281.0,45281.0,213034.0,167753.0
instance_7465,CN,app_0,48,48,0,0,25,25,240.0,240.0,680.0,800.0,-1,45281.0,45281.0,218707.0,173426.0
instance_7466,CN,app_0,48,48,0,0,25,25,200.0,200.0,680.0,800.0,2,45281.0,45281.0,932686.0,887405.0
instance_7467,CN,app_50,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,45281.0,45281.0,1319605.0,1274324.0
instance_7468,CN,app_89,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,45281.0,45281.0,1791630.0,1746349.0
instance_7469,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,45611.0,45611.0,52144.0,6533.0
instance_7472,CN,app_35,192,192,0,0,51,51,960.0,960.0,340.0,400.0,-1,46546.0,46603.0,66667.0,20121.0
instance_7473,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,46546.0,46546.0,85500.0,38954.0
instance_7474,CN,app_0,48,48,0,0,25,25,240.0,240.0,680.0,800.0,-1,46546.0,46546.0,99446.0,52900.0
instance_7475,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,46876.0,46876.0,58427.00000000001,11551.000000000007
instance_7476,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,47801.0,47802.0,145444.0,97643.0
instance_7477,HN,app_62,8,8,1,1,25,25,40.0,40.0,200.0,200.0,2,48867.0,48867.0,221262.0,172395.0
instance_7479,CN,app_82,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,49707.0,49765.0,55967.0,6260.0
instance_7481,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,49706.0,49706.0,140233.0,90527.0
instance_7482,CN,app_2,64,64,0,0,1,1,320.0,320.0,425.0,500.0,-1,49706.0,49765.0,994467.0,944761.0
instance_7484,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,49796.0,49796.0,77452.0,27656.0
instance_7485,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,49826.0,49827.0,137137.0,87311.0
instance_7486,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,49827.0,49827.0,66523.0,16696.0
instance_7488,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,49886.0,49886.0,92216.0,42330.0
instance_7489,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,50366.0,50366.0,68170.0,17804.0
instance_7490,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,50516.0,50516.0,75766.0,25250.0
instance_7492,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,51296.0,51296.0,64909.00000000001,13613.000000000007
instance_7493,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,51988.0,51988.0,117852.0,65864.0
instance_7494,HN,app_26,8,8,1,1,25,25,40.0,40.0,100.0,100.0,4,52721.0,52722.0,260145.00000000003,207424.00000000003
instance_7495,HN,app_19,8,8,1,1,25,25,40.0,40.0,80.0,100.0,4,52721.0,52763.0,513720.00000000006,460999.00000000006
instance_7496,HN,app_24,8,8,1,1,25,25,40.0,40.0,80.0,100.0,4,52723.0,52723.0,513693.00000000006,460970.00000000006
instance_7497,HN,app_62,8,8,1,1,25,25,40.0,40.0,160.0,200.0,2,54375.0,54508.0,301058.0,246683.0
instance_7498,CN,app_82,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,54636.0,54692.0,1377497.0,1322861.0
instance_7499,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,55549.0,55549.0,72302.0,16753.0
instance_7500,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,55549.0,55549.0,89342.0,33793.0
instance_7501,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,55579.0,55579.0,139047.0,83468.0
instance_7502,HN,app_0,12,12,1,1,25,25,120.0,120.0,680.0,800.0,8,55607.0,55607.0,57175.0,1568.0
instance_7504,HN,app_93,8,8,1,1,25,25,40.0,40.0,255.0,300.0,4,55616.0,55657.0,486136.00000000006,430520.00000000006
instance_7507,HN,app_20,8,8,1,1,25,25,40.0,40.0,85.0,100.0,2,55627.0,55657.0,1788927.0,1733300.0
instance_7508,HN,app_0,12,12,1,1,25,25,120.0,120.0,680.0,800.0,8,55627.0,55627.0,57175.0,1548.0
instance_7515,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,56103.0,56103.0,60210.00000000001,4107.000000000007
instance_7516,CN,app_94,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,57934.0,57934.0,63109.00000000001,5175.000000000007
instance_7517,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,57934.0,57934.0,160180.0,102246.0
instance_7518,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,58563.00000000001,58563.00000000001,70321.0,11757.999999999993
